epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1537.07,0.61455,0.63699,1.12481,0.82158,0.57008,0.70324,0.56756,0.70462,1.10385,1.18872,0.007162,0.007162,0.007162
45,1581.85,0.61632,0.65154,1.11533,0.75733,0.62293,0.73112,0.57749,0.75835,1.00642,1.24738,0.007096,0.007096,0.007096
46,1615.02,0.61296,0.65667,1.11458,0.60582,0.6736,0.68646,0.55444,0.71167,1.14526,1.18748,0.00703,0.00703,0.00703
47,1649.63,0.60149,0.63751,1.11641,0.79312,0.56312,0.70104,0.56987,0.7065,1.23577,1.18747,0.006964,0.006964,0.006964
48,1683.23,0.58159,0.61964,1.09386,0.8438,0.66265,0.76395,0.62657,0.67738,0.93693,1.1695,0.006898,0.006898,0.006898
49,1716.69,0.5908,0.616,1.09869,0.69569,0.68921,0.73974,0.60209,0.72145,1.00719,1.22089,0.006832,0.006832,0.006832
50,1753.18,0.59815,0.6098,1.11157,0.66684,0.5792,0.64903,0.52161,0.77275,1.17302,1.26735,0.006766,0.006766,0.006766
51,1787.89,0.59273,0.6657,1.12063,0.65932,0.64527,0.72414,0.60168,0.68871,1.08546,1.185,0.0067,0.0067,0.0067
52,1821.24,0.59872,0.63108,1.10599,0.73305,0.64367,0.7079,0.57751,0.72313,1.00552,1.18767,0.006634,0.006634,0.006634
53,1854.6,0.57448,0.59076,1.09144,0.72029,0.67303,0.73999,0.61461,0.67476,0.9539,1.16321,0.006568,0.006568,0.006568
54,1886.38,0.60926,0.64871,1.11568,0.69182,0.54211,0.68104,0.54709,0.76646,1.24257,1.21979,0.006502,0.006502,0.006502
55,1930.73,0.5861,0.62169,1.10348,0.68008,0.71411,0.75657,0.61844,0.69421,0.92254,1.17722,0.006436,0.006436,0.006436
56,1963.96,0.56226,0.60734,1.08107,0.76393,0.63535,0.73215,0.59992,0.69244,0.93097,1.18372,0.00637,0.00637,0.00637
57,1998.49,0.57189,0.6032,1.09284,0.68154,0.6793,0.70599,0.57434,0.70015,1.00355,1.18888,0.006304,0.006304,0.006304
58,2031.9,0.56582,0.60008,1.08827,0.86039,0.62273,0.74632,0.60699,0.70507,0.9829,1.17567,0.006238,0.006238,0.006238
59,2065.03,0.55297,0.58166,1.09074,0.67101,0.62957,0.71159,0.56333,0.7619,1.0669,1.22674,0.006172,0.006172,0.006172
60,2101.61,0.55553,0.59116,1.07123,0.82027,0.64602,0.75931,0.63149,0.68026,0.8881,1.17383,0.006106,0.006106,0.006106
61,2134.71,0.55139,0.57514,1.07425,0.74583,0.66249,0.73675,0.61038,0.71013,0.97249,1.18198,0.00604,0.00604,0.00604
62,2168.13,0.55077,0.56987,1.07636,0.7773,0.64132,0.74195,0.60601,0.73086,0.93859,1.24833,0.005974,0.005974,0.005974
63,2202.86,0.55208,0.58722,1.0891,0.85537,0.61331,0.75608,0.61876,0.71852,0.93089,1.20798,0.005908,0.005908,0.005908
64,2236.11,0.55787,0.58763,1.07574,0.73438,0.67545,0.74809,0.61527,0.66754,1.00014,1.15332,0.005842,0.005842,0.005842
65,2280.86,0.55148,0.54039,1.07395,0.7598,0.6546,0.75527,0.63091,0.64528,0.91821,1.11765,0.005776,0.005776,0.005776
66,2314.92,0.53751,0.54302,1.0599,0.87878,0.60333,0.73515,0.62085,0.64608,1.0608,1.12592,0.00571,0.00571,0.00571
67,2348.31,0.55627,0.55616,1.07757,0.72609,0.66074,0.75535,0.612,0.69176,0.9892,1.18119,0.005644,0.005644,0.005644
68,2382.99,0.5437,0.5541,1.08002,0.77309,0.71451,0.77092,0.64008,0.69531,0.91916,1.18568,0.005578,0.005578,0.005578
69,2416.48,0.53696,0.54795,1.08037,0.85105,0.65334,0.77135,0.63899,0.64536,0.92115,1.13266,0.005512,0.005512,0.005512
70,2452.82,0.50213,0.5256,1.05003,0.76049,0.68313,0.75298,0.63748,0.62764,0.87752,1.11956,0.005446,0.005446,0.005446
71,2485.86,0.50984,0.53372,1.06173,0.70118,0.64357,0.69199,0.57359,0.66188,1.01831,1.14395,0.00538,0.00538,0.00538
72,2520.52,0.53135,0.55746,1.06199,0.73684,0.67475,0.75295,0.62815,0.65914,0.95187,1.16055,0.005314,0.005314,0.005314
73,2553.68,0.52662,0.54806,1.07412,0.78709,0.69481,0.77186,0.65562,0.63537,0.8342,1.12157,0.005248,0.005248,0.005248
74,2587,0.50214,0.50739,1.06035,0.83434,0.70262,0.79527,0.66978,0.65802,0.7856,1.14635,0.005182,0.005182,0.005182
75,2631.88,0.53636,0.55353,1.06191,0.82822,0.72577,0.80208,0.67175,0.65291,0.77445,1.13684,0.005116,0.005116,0.005116
76,2665.65,0.52168,0.52821,1.06639,0.82562,0.70786,0.80058,0.67872,0.64831,0.84158,1.1084,0.00505,0.00505,0.00505
77,2698.97,0.51264,0.52306,1.05114,0.82482,0.67412,0.77872,0.66405,0.63542,1.00294,1.10019,0.004984,0.004984,0.004984
78,2732.34,0.50104,0.5112,1.05141,0.86861,0.67221,0.79789,0.67429,0.65567,0.81241,1.1282,0.004918,0.004918,0.004918
79,2766.85,0.50197,0.52272,1.06682,0.84971,0.67355,0.78139,0.66031,0.65594,0.82529,1.13218,0.004852,0.004852,0.004852
80,2802.99,0.50838,0.49997,1.04858,0.8381,0.6947,0.78815,0.67306,0.61618,0.83678,1.11699,0.004786,0.004786,0.004786
81,2836.14,0.51436,0.51816,1.05225,0.74932,0.72475,0.77633,0.65291,0.66526,0.91541,1.14673,0.00472,0.00472,0.00472
82,2870.79,0.4887,0.49334,1.03227,0.83123,0.68994,0.79876,0.678,0.64647,0.80612,1.11122,0.004654,0.004654,0.004654
83,2904.31,0.49636,0.50716,1.04794,0.82915,0.68637,0.7997,0.68297,0.61803,0.83019,1.08554,0.004588,0.004588,0.004588
84,2938.99,0.49766,0.51283,1.0505,0.79167,0.72846,0.81567,0.70146,0.62114,0.81993,1.10297,0.004522,0.004522,0.004522
85,2981.3,0.48971,0.50514,1.02891,0.75577,0.71812,0.7964,0.67165,0.60482,0.81769,1.08483,0.004456,0.004456,0.004456
86,3014.35,0.47096,0.48844,1.03518,0.8938,0.68628,0.80062,0.68377,0.60439,0.78118,1.0885,0.00439,0.00439,0.00439
87,3047.8,0.46997,0.48752,1.04193,0.86586,0.69624,0.7969,0.68472,0.60752,0.7688,1.09786,0.004324,0.004324,0.004324
88,3081.1,0.48459,0.48142,1.04572,0.86982,0.72116,0.82282,0.70303,0.6058,0.72978,1.08015,0.004258,0.004258,0.004258
89,3114.39,0.47367,0.47097,1.03745,0.86591,0.71865,0.83134,0.71688,0.58693,0.70849,1.06513,0.004192,0.004192,0.004192
